row_type,model,arm,feature,metric,first_window,n_runs,alternative,n_authors,estimate,ci_low,ci_high,wilcoxon_p,window_index
position,human,human_interior,f1,target_margin,,52,,19,-0.0012420891850065353,-0.009988244025968837,0.006526439913717647,,4
position,human,human_interior,f1,target_rank,,52,,19,2.3947368421052633,1.815570175438597,3.1140350877192984,,4
position,human,human_interior,f1,target_hit,,52,,19,0.5263157894736841,0.3684210526315789,0.6666666666666666,,5
position,human,human_interior,f1,target_kl,,52,,19,0.05428738332037053,0.028614895950370922,0.08545165871139265,,5
position,human,human_interior,f1,target_margin,,52,,19,-0.01731467589313318,-0.04194338843020238,0.0021287608635817737,,5
position,human,human_interior,f1,target_rank,,52,,19,3.3333333333333335,1.9995614035087728,5.158333333333331,,5
position,human,human_interior,f3,target_hit,,52,,19,0.6403508771929823,0.4912280701754385,0.7721491228070163,,1
position,human,human_interior,f3,target_kl,,52,,19,0.09460748034037725,0.06252887127618752,0.13336140538018568,,1
position,human,human_interior,f3,target_margin,,52,,19,-0.008681363507164766,-0.04628695635719892,0.021424552326992072,,1
position,human,human_interior,f3,target_rank,,52,,19,2.885964912280702,1.6666666666666665,4.473903508771929,,1
position,human,human_interior,f3,target_hit,,52,,19,0.6578947368421053,0.5175438596491229,0.7894736842105262,,2
position,human,human_interior,f3,target_kl,,52,,19,0.09115131316661836,0.05963055174619377,0.13601413822884661,,2
position,human,human_interior,f3,target_margin,,52,,19,0.0003431239249747408,-0.0423573879130773,0.032210605896375116,,2
position,human,human_interior,f3,target_rank,,52,,19,2.9298245614035086,1.4210526315789473,5.017982456140348,,2
position,human,human_interior,f3,target_hit,,52,,19,0.6140350877192983,0.4385964912280701,0.7807017543859649,,3
position,human,human_interior,f3,target_kl,,52,,19,0.08587300388358181,0.057983143346800124,0.12048286197151552,,3
position,human,human_interior,f3,target_margin,,52,,19,0.0026705328543272845,-0.03162477097510975,0.02606067801146704,,3
position,human,human_interior,f3,target_rank,,52,,19,2.3508771929824563,1.456140350877193,3.6754385964912277,,3
position,human,human_interior,f3,target_hit,,52,,19,0.6052631578947368,0.48245614035087714,0.7368421052631579,,4
position,human,human_interior,f3,target_kl,,52,,19,0.08281687439727785,0.06399399141348718,0.10440166092249151,,4
position,human,human_interior,f3,target_margin,,52,,19,0.01020178525461509,-0.01201441967067056,0.029183895924361446,,4
position,human,human_interior,f3,target_rank,,52,,19,2.1052631578947367,1.5964912280701755,2.7017543859649122,,4
position,human,human_interior,f3,target_hit,,52,,19,0.5964912280701754,0.45570175438596566,0.7368421052631579,,5
position,human,human_interior,f3,target_kl,,52,,19,0.12397360799705809,0.07407405457826502,0.1881936021504749,,5
position,human,human_interior,f3,target_margin,,52,,19,-0.010130067101444299,-0.046145480614988736,0.018421526154385214,,5
