condition,label,author,fold,observation_index,score,calibrated_threshold,normalised_score,flagged
flash,human,luis_senarens,1,1,328.8103029777955,483.8554732139631,0.6795630538055195,0
flash,human,luis_senarens,1,2,341.95867299572876,483.8554732139631,0.7067372220144611,0
flash,human,luis_senarens,1,3,185.45045585283756,483.8554732139631,0.38327654872022193,0
flash,human,luis_senarens,1,4,317.2076632424773,483.8554732139631,0.6555834971452449,0
flash,human,luis_senarens,1,5,369.4499302470092,483.8554732139631,0.7635543063985075,0
flash,human,luis_senarens,1,6,474.43470106581924,483.8554732139631,0.980529780751332,0
flash,human,luis_senarens,1,7,353.6729890321592,483.8554732139631,0.7309475837545469,0
flash,human,luis_senarens,1,8,407.7845204322202,483.8554732139631,0.8427816631349668,0
flash,human,luis_senarens,1,9,552.7032902071377,483.8554732139631,1.1422900448678603,1
flash,human,john_c_hutcheson,3,1,69.07701999902952,448.9392291876774,0.15386719517476632,0
flash,human,john_c_hutcheson,3,2,73.42089873234873,448.9392291876774,0.1635430676557236,0
flash,human,john_c_hutcheson,3,3,73.2102448510381,448.9392291876774,0.16307384182822843,0
flash,human,john_c_hutcheson,3,4,113.4216470040397,448.9392291876774,0.2526436533721231,0
flash,human,john_c_hutcheson,3,5,53.183730597904265,448.9392291876774,0.11846532256523076,0
flash,human,john_c_hutcheson,3,6,99.46538930954775,448.9392291876774,0.22155646653896355,0
flash,human,john_c_hutcheson,3,7,100.08662814776574,448.9392291876774,0.2229402592615155,0
flash,human,john_c_hutcheson,3,8,79.69510042315892,448.9392291876774,0.1775186823556528,0
flash,human,john_c_hutcheson,3,9,169.71658721100198,448.9392291876774,0.378039111258091,0
flash,human,john_c_hutcheson,3,10,67.35088412540783,448.9392291876774,0.15002227416676042,0
flash,human,john_c_hutcheson,3,11,99.83305057113623,448.9392291876774,0.2223754220627518,0
flash,human,john_c_hutcheson,3,12,83.9736071149276,448.9392291876774,0.18704894038079872,0
flash,human,john_c_hutcheson,3,13,108.50760984112394,448.9392291876774,0.24169776839832083,0
flash,human,john_c_hutcheson,3,14,169.69510260716467,448.9392291876774,0.37799125488368546,0
