contrast,left,right,rival_mode,window_policy,feature,test_chunk_size,n_authors,accuracy_difference,accuracy_ci_low,accuracy_ci_high,accuracy_wilcoxon_p,kl_true_difference,kl_true_ci_low,kl_true_ci_high,kl_true_wilcoxon_p,margin_difference,margin_ci_low,margin_ci_high,margin_wilcoxon_p,gap_low,gap_high
gap growth,gap N=2000,gap N=500,symmetric,random,f3,1000,19,0.02474161580800341,-0.0036636320943241028,0.056765490350668926,0.1336212158203125,,,,,,,,,0.046769790269660126,0.07151140607766354
gap growth,gap N=4000,gap N=500,symmetric,random,f3,1000,18,0.0008103243626628315,-0.041338857189733645,0.03933542398930264,0.9057940914405992,,,,,,,,,0.04605021071674001,0.04686053507940283
gap growth,gap N=4000,gap N=1000,symmetric,random,f3,1000,18,-0.02067212791662454,-0.06527660865654654,0.018825617174095657,0.7660293579101562,,,,,,,,,0.06753266299602739,0.04686053507940283
gap growth,gap N=2000,gap N=500,symmetric,random,f1,2000,18,0.010668652614500725,-0.024196145425209398,0.045738750434094505,0.4631068149666542,,,,,,,,,0.06370736705974621,0.07437601967424692
gap growth,gap N=4000,gap N=500,symmetric,random,f1,2000,17,0.004442065509255659,-0.04377138379080895,0.05316924312467081,0.7466583251953125,,,,,,,,,0.06255289845541755,0.0669949639646732
gap growth,gap N=4000,gap N=1000,symmetric,random,f1,2000,17,-0.006968047966211083,-0.05977867577559183,0.04238012133884573,1.0,,,,,,,,,0.0739630119308843,0.0669949639646732
gap growth,gap N=2000,gap N=500,symmetric,random,f1,1000,19,0.011619678145026822,-0.014511066168455556,0.039779950945638416,0.4653167724609375,,,,,,,,,0.0454474632106927,0.057067141355719504
gap growth,gap N=4000,gap N=500,symmetric,random,f1,1000,18,0.008613211203701725,-0.030460918177549742,0.048524767169029974,0.5540338584644351,,,,,,,,,0.046197630919928706,0.05481084212363044
gap growth,gap N=4000,gap N=1000,symmetric,random,f1,1000,18,-0.005233983889847043,-0.05362955903863031,0.033389545903644534,0.7018814086914062,,,,,,,,,0.06004482601347748,0.05481084212363044
gap growth,gap N=2000,gap N=500,symmetric,middle,f3,2000,18,0.015656105857615617,-0.07524562695987289,0.09726580143494999,0.6012065440113676,,,,,,,,,0.09852181230580978,0.11417791816342542
