rival_mode,window_policy,feature,test_chunk_size,budget_n,design,reference_marks,predicted_n_eff,n_authors,n_chunk_observations,macro_accuracy,macro_accuracy_ci_low,macro_accuracy_ci_high,macro_kl_true,macro_kl_true_ci_low,macro_kl_true_ci_high,macro_margin,macro_margin_ci_low,macro_margin_ci_high
symmetric,middle,f1,2000,1000,two_books,2000,1227.589692225788,20,485,0.4538546015855644,0.3383794663235819,0.5671779783488244,0.047058555259524154,0.028646229192343813,0.06903304089751487,-0.020043968073921913,-0.04192987357796325,-0.002404709464564408
symmetric,middle,f1,2000,2000,one_book,4000,1137.3861755636717,18,473,0.4844199295783667,0.36943791066585957,0.6106852809360593,0.042116071908662275,0.027656033683685174,0.058841587153326935,-0.013542906265445596,-0.02765069487518068,-0.0014983451258022188
symmetric,middle,f1,2000,2000,two_books,4000,1771.1515337877097,18,473,0.6095357454596928,0.4750369699883973,0.7405162446352425,0.0370211213390603,0.021745561272087526,0.055106914196040316,-0.008698049359579066,-0.025063389069275313,0.004312336880765127
symmetric,middle,f1,2000,4000,one_book,8000,1325.8926754860408,17,464,0.579839767905376,0.4382978397912203,0.7106973102214726,0.033182811113267444,0.02159937861714983,0.04746433811051513,-0.005567292569883068,-0.01905361099369272,0.005577690914941787
symmetric,middle,f1,2000,4000,two_books,8000,2274.7723511273434,17,464,0.6260306561505744,0.4838601683132881,0.7627341782416227,0.02817332906771309,0.018356570060876997,0.04021030515907276,-0.0006523752691734997,-0.013383177190540574,0.009305714594076987
symmetric,middle,f3,1000,500,one_book,1000,613.794846112894,20,1003,0.38303165331429256,0.28235857469318215,0.48877478275738884,0.14772534298503442,0.10952722861298032,0.18910879961257016,-0.06069686653635611,-0.09912712026822944,-0.026550562053048447
symmetric,middle,f3,1000,500,two_books,1000,760.68509896574,20,1003,0.45656739199468727,0.3456906268062193,0.5678944385335477,0.13283941011606865,0.09082002574303749,0.18531981565749692,-0.04546285903780408,-0.09547756635440155,-0.007901994990470418
symmetric,middle,f3,1000,1000,one_book,2000,885.5757668938548,20,1003,0.465665734262062,0.37027040948747186,0.5639665157078466,0.15915823557920072,0.10076848759237426,0.23264856998451244,-0.06699043214626614,-0.13746877509540287,-0.015188719319498216
symmetric,middle,f3,1000,1000,two_books,2000,1227.589692225788,20,1003,0.5443568522005559,0.43683241570083015,0.6502885523489392,0.12806503733833552,0.08638816534192457,0.17646964665270978,-0.03651602103298014,-0.08234245898649929,2.0689072613166142e-05
symmetric,middle,f3,1000,2000,one_book,4000,1137.3861755636717,19,977,0.502794394498067,0.39176921657839264,0.6093369929161591,0.12763655649708447,0.09420515311583631,0.16662114243145076,-0.029068051450890958,-0.06016661224331255,-0.002687276165492869
symmetric,middle,f3,1000,2000,two_books,4000,1771.1515337877097,19,977,0.5666959983599803,0.44402461531077897,0.6780782697348869,0.11295567914228037,0.07719411691369268,0.15864886364800931,-0.020564368392983635,-0.05506251697228886,0.0073522531861342786
symmetric,middle,f3,1000,4000,one_book,8000,1325.8926754860408,18,959,0.5540323855359062,0.42934281403312224,0.6629329138546048,0.10887504624145562,0.08027241257578312,0.14475533213117414,-0.01835161871123333,-0.04789843671540989,0.004364721283587003
symmetric,middle,f3,1000,4000,two_books,8000,2274.7723511273434,18,959,0.6562581035193242,0.5260991228062942,0.7746352508567464,0.08987863234216649,0.06949140663585257,0.11550319490584979,0.0030888169187788463,-0.02012114781041509,0.02010407898797997
symmetric,middle,f3,2000,500,one_book,1000,613.794846112894,20,485,0.4199072534181436,0.304551424630872,0.5395733391283867,0.13272454670216266,0.0969608693162151,0.17251255714832692,-0.051680802209041234,-0.08804268746250823,-0.018730726373575358
symmetric,middle,f3,2000,500,two_books,1000,760.68509896574,20,485,0.5002435511600389,0.3818291160771825,0.618823428425279,0.11898462213397512,0.07772516256496131,0.17171809626139506,-0.03780810963548296,-0.0898445546452249,0.0002479099858775917
symmetric,middle,f3,2000,1000,one_book,2000,885.5757668938548,20,485,0.5050205820921005,0.39684155966233314,0.6179929659838185,0.14402371487204302,0.08630003345000843,0.22025924422279183,-0.05980510786636108,-0.132663775227563,-0.007513313881140533
symmetric,middle,f3,2000,1000,two_books,2000,1227.589692225788,20,485,0.6070790078180763,0.4855267193382387,0.7212915273125223,0.1120879767710206,0.07238823454546564,0.16073278467246638,-0.027990256993578662,-0.07561081557198761,0.00925092723840359
symmetric,middle,f3,2000,2000,one_book,4000,1137.3861755636717,18,473,0.5906596626150156,0.46986980500085346,0.7056567900325033,0.10127322957983792,0.07207864065728561,0.1360161185586489,-0.00982949346648259,-0.03667113823166933,0.012926896668212147
symmetric,middle,f3,2000,2000,two_books,4000,1771.1515337877097,18,473,0.7048375807784409,0.586021783498262,0.8178473323769024,0.09229801337570989,0.05797961734771111,0.134264849739873,-0.0068847680361186344,-0.03948515928396616,0.019533750544296933
symmetric,middle,f3,2000,4000,one_book,8000,1325.8926754860408,17,464,0.6611568526140222,0.5284022319816907,0.7818070768618056,0.08086319010640428,0.05774246784280116,0.10915609415501096,-0.0004175272241125635,-0.02561206013502153,0.01986722872561701
symmetric,middle,f3,2000,4000,two_books,8000,2274.7723511273434,17,464,0.7230565050483082,0.5967929880820023,0.8371261565867804,0.06880773849089705,0.050094547622600356,0.09123034903924959,0.012605476509483488,-0.010034997085224293,0.030436935169232574
symmetric,random,f1,1000,500,one_book,1000,613.794846112894,20,20060,0.33993715711451283,0.2666946009375938,0.4097563329718722,0.06895373404032276,0.0464685355564777,0.09512148873136754,-0.03947436945809367,-0.06311648413141144,-0.019069577136243923
symmetric,random,f1,1000,500,two_books,1000,760.68509896574,20,20060,0.3872789138313376,0.30781101862696353,0.4679289756325721,0.05775324581288849,0.03857752193528038,0.07970299159302727,-0.029439895103297708,-0.05020707922630318,-0.012164482181246498
symmetric,random,f1,1000,1000,one_book,2000,885.5757668938548,20,20060,0.39953190793246546,0.3097926238186501,0.4895238294065589,0.06242045041365616,0.04034971276798461,0.0873604525881107,-0.032938405013093294,-0.05602369758114538,-0.013100488727547894
symmetric,random,f1,1000,1000,two_books,2000,1227.589692225788,20,20060,0.4491972513445952,0.3538907579811533,0.5459382445191906,0.05097153823281878,0.033856643906539585,0.07070683100516935,-0.022302192770223994,-0.04088317080425301,-0.006948231607223241
